,Product_Names,Product_Prices,Product_Description,Product_Reviews,Product_History
69,"Apple iPhone SE (Black, 64 GB)","₹39,900","64 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA13 Bionic Chip with 3rd Gen Neural Engine ProcessorWater and Dust Resistant (1 meter for Upto 30 minutes, IP67)Fast Charge CapableWireless charging (Works with Qi Chargers | Qi Chargers are Sold Separately1 year warranty for phone and 1 year warranty for in Box Accessories.",4.5,"1,54,638 Ratings & 12,003 Reviews"
70,"Apple iPhone 8 (Silver, 256 GB)","₹77,000","256 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor ProcessorBrand Warranty of 1 Year",4.5,"11,368 Ratings & 801 Reviews"
71,"Apple iPhone 16 Pro (Natural Titanium, 1 TB)","₹1,69,900","1 TB ROM16.0 cm (6.3 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.7,531 Ratings & 33 Reviews
72,"Apple iPhone 16 Pro (Natural Titanium, 512 GB)","₹1,49,900","512 GB ROM16.0 cm (6.3 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.7,531 Ratings & 33 Reviews
73,"Apple iPhone XR (Black, 128 GB)","₹52,900","128 GB ROM15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessorWater and Dust Resistant (1 meter for Upto 30 minutes, IP67)Face ID for Secure AuthenticationFast-charge Capable1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6,"1,00,890 Ratings & 8,483 Reviews"
74,"Apple iPhone 16 (Pink, 512 GB)","₹1,09,900","512 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP | 12MP Front CameraA18 Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6,"1,625 Ratings & 59 Reviews"
75,"Apple iPhone SE (Black, 128 GB)","₹44,900","128 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA13 Bionic Chip with 3rd Gen Neural Engine ProcessorWater and Dust Resistant (1 meter for Upto 30 minutes, IP67)Fast Charge CapableWireless charging (Works with Qi Chargers | Qi Chargers are Sold Separately1 year warranty for phone and 1 year warranty for in Box Accessories.",4.5,"1,54,638 Ratings & 12,003 Reviews"
76,"Apple iPhone 16 Pro Max (Black Titanium, 512 GB)","₹1,64,900","512 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6,311 Ratings & 34 Reviews
77,"Apple iPhone 14 (Blue, 256 GB)","₹69,900","256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6,"3,08,434 Ratings & 11,640 Reviews"
78,"Apple iPhone 16 Pro Max (Desert Titanium, 512 GB)","₹1,64,900","512 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6,311 Ratings & 34 Reviews
79,"Apple iPhone 6s (Rose Gold, 32 GB)","₹29,990",32 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraApple A9 64-bit processor and M9 Motion Co-processor1 year warranty for phone and 1 year warranty for in Box Accessories.,4.5,"92,951 Ratings & 9,173 Reviews"
